source,comments,timestamp,text_clean,text_refined,text_for_lda,text_for_bertopic
maps,"Hr ini berniat untuk ngurus ektp sesampai nya dsna alasanya jaringan troble dll ... tidak ada perubahan ... sm sprti dl... semuanya tetap dipersulit .. sia"" dan kecewa",,hr ini berniat untuk ngurus ektp sesampai nya dsna alasanya jaringan troble dll tidak ada perubahan sm sprti dl semuanya tetap dipersulit sia dan kecewa,hr ini berniat untuk ngurus ektp sesampai nya dsna alasanya jaringan troble dll tidak ada perubahan sm sprti dl semuanya tetap dipersulit sia dan kecewa,hr berniat ngurus ektp dsna alasanya jaringan troble tidak perubahan sm sprti dl dipersulit sia kecewa,hr ini berniat untuk ngurus ektp sesampai nya dsna alasanya jaringan troble dll tidak ada perubahan sm sprti dl semuanya tetap dipersulit sia dan kecewa
maps,"Mau bikin ktp krn hilang disuruh ke rt rw, padahao diyoutube bisa lewat dukcapil. Udah jauh jauh datang katanya cuma online aja, ditelfun juga gak diangkat.",,mau bikin ktp krn hilang disuruh ke rt rw padahao diyoutube bisa lewat dukcapil udah jauh jauh datang katanya cuma online aja ditelfun juga gak diangkat,mau bikin ktp karena hilang disuruh ke rt rw padahao diyoutube bisa lewat dukcapil udah jauh jauh datang katanya cuma online aja ditelfun juga tidak diangkat,bikin ktp hilang disuruh rt rw padahao diyoutube dukcapil online ditelfun tidak diangkat,mau bikin ktp karena hilang disuruh ke rt rw padahao diyoutube bisa lewat dukcapil udah jauh jauh datang katanya cuma online aja ditelfun juga tidak diangkat
maps,"PSBB sudah selesai, kapan dispendukcapil melayani
Warganya kembali.  Samsat aja sudah mulai terima pengurusan SIM 😠😠😠😠 …",,psbb sudah selesai kapan dispendukcapil melayani warganya kembali samsat aja sudah mulai terima pengurusan sim,psbb sudah selesai kapan dispendukcapil melayani warganya kembali samsat aja sudah mulai terima pengurusan sim,psbb selesai melayani warganya samsat pengurusan sim,psbb sudah selesai kapan melayani warganya kembali samsat aja sudah mulai pengurusan sim
maps,"Hari ini saya ke sana, saya tanya pak apakah sudah tutup, katanya gak dengar petugasnya hanya duduk""saja. Petugasnya tidak mau keluar dan hanya menyuruh pakai tangan puter. Minta tolong pelayanan lebih care. Terima kasih",,hari ini saya ke sana saya tanya pak apakah sudah tutup katanya gak dengar petugasnya hanya duduk saja petugasnya tidak mau keluar dan hanya menyuruh pakai tangan puter minta tolong pelayanan lebih care terima kasih,hari ini saya ke sana saya tanya pak apakah sudah tutup katanya tidak dengar petugasnya hanya duduk saja petugasnya tidak mau keluar dan hanya menyuruh pakai tangan puter minta tolong pelayanan lebih care terima kasih,tutup tidak dengar petugasnya duduk petugasnya tidak menyuruh pakai tangan puter pelayanan care,hari ini saya ke sana saya apakah sudah tutup katanya tidak dengar petugasnya hanya duduk saja petugasnya tidak mau keluar dan hanya menyuruh pakai tangan puter minta pelayanan lebih care
maps,"cabut aja call center nya diganti terong aja, ada call center lamanya minta ampun buat angkat, gimana masyarakat bisa puas sama pelayanan nya, pandemi gini dibatasin tapi untuk pertanyaan by telfon sulit sekali",,cabut aja call center nya diganti terong aja ada call center lamanya minta ampun buat angkat gimana masyarakat bisa puas sama pelayanan nya pandemi gini dibatasin tapi untuk pertanyaan by telfon sulit sekali,cabut aja call center nya diganti terong aja ada call center lamanya minta ampun buat angkat gimana masyarakat bisa puas sama pelayanan nya pandemi gini dibatasin tapi untuk pertanyaan by telfon sulit sekali,cabut call center diganti terong call center ampun angkat gimana masyarakat puas pelayanan pandemi gini dibatasin by telfon sulit,cabut aja call center nya diganti terong aja ada call center lamanya minta ampun buat angkat gimana masyarakat bisa puas sama pelayanan nya pandemi gini dibatasin tapi untuk pertanyaan by telfon sulit sekali
maps,Pelayanan yang kurang memuaskan. KTP sudah selesai di cetak tapi belum juga dikirim.,,pelayanan yang kurang memuaskan ktp sudah selesai di cetak tapi belum juga dikirim,pelayanan yang kurang memuaskan ktp sudah selesai di cetak tapi belum juga dikirim,pelayanan kurang memuaskan ktp selesai cetak belum dikirim,pelayanan yang kurang memuaskan ktp sudah selesai di cetak tapi belum juga dikirim
maps,"Klampid-mu ruwet!!!

Mau daftar NIK katanya sudah terdaftar. Kapan aku daftar? Siapapun bisa pakai …",,klampid mu ruwet mau daftar nik katanya sudah terdaftar kapan aku daftar siapapun bisa pakai,klampid mu ruwet mau daftar nik katanya sudah terdaftar kapan aku daftar siapapun bisa pakai,klampid mu ruwet daftar nik terdaftar daftar pakai,klampid mu ruwet mau daftar nik katanya sudah terdaftar kapan aku daftar siapapun bisa pakai
maps,Pelelayanan sangat bagus,,pelelayanan sangat bagus,pelelayanan sangat bagus,pelelayanan bagus,pelelayanan sangat bagus
maps,"Baru pertama kali ke dispenduk kemarin, pelayanannya ramah dan cepat tanpa buang² waktu 20 menit udah kelar urusan. Good deh",,baru pertama kali ke dispenduk kemarin pelayanannya ramah dan cepat tanpa buang waktu menit udah kelar urusan good deh,baru pertama kali ke dispenduk kemarin pelayanannya ramah dan cepat tanpa buang waktu menit udah kelar urusan good deh,dispenduk kemarin pelayanannya ramah cepat buang menit kelar urusan good deh,baru pertama kali ke dispenduk kemarin pelayanannya ramah dan cepat tanpa buang waktu menit udah kelar urusan good deh
maps,"Dari segi tempat , 4 bintang lah, nyaman bersih, terdapatn papan pemberitahuan, cuman mungkin kurang besar sedikit …",,dari segi tempat bintang lah nyaman bersih terdapatn papan pemberitahuan cuman mungkin kurang besar sedikit,dari segi tempat bintang lah nyaman bersih terdapatn papan pemberitahuan cuman mungkin kurang besar sedikit,segi bintang nyaman bersih terdapatn papan pemberitahuan cuman kurang besar,dari segi tempat bintang lah nyaman bersih terdapatn papan pemberitahuan cuman mungkin kurang besar sedikit
